Student,LPIPS,SSIM
112590060.png,0.0,1.0
112590036.png,0.16586802899837494,0.7649425027371365
112590007.png,0.1833093762397766,0.7788135594467995
112590017.png,0.2055484652519226,0.7307952012423478
112590041.png,0.2190818190574646,0.7203767395230471
109810011.png,0.22191812098026276,0.7263634018420572
112590038.png,0.23896318674087524,0.7408709070109417
111332012.png,0.2453421652317047,0.7425932027264656
110590456.png,0.2686789631843567,0.6966457601534531
112590059.png,0.2853519320487976,0.7811229226036192
112590003.png,0.2862762212753296,0.7695676844471363
112590023.png,0.29179203510284424,0.723445805387735
112590056.png,0.3008708357810974,0.7640135703274377
112590029.png,0.30489423871040344,0.7580475404224144
112590033.png,0.30757030844688416,0.72879832650757
112590020.png,0.32991141080856323,0.6658763814429144
112590035.png,0.33034080266952515,0.6574614838307101
112590009.png,0.33896559476852417,0.6872521191895725
112590022.png,0.3481050133705139,0.656982938749029
112590012.png,0.34875231981277466,0.7559507777359983
112590026.png,0.35004696249961853,0.6414208996410196
112590021.png,0.37712225317955017,0.5902145880985359
112590005.png,0.38126787543296814,0.657115694761563
112590057.png,0.38499218225479126,0.5964275756814399
110820009.png,0.38525643944740295,0.64811734892864
113378043.png,0.3950875997543335,0.658788645418858
112590030.png,0.4153955280780792,0.6510829467849889
110590041.png,0.43530774116516113,0.6774359626096138
112590031.png,0.4437934160232544,0.5412306622385507
112590052.png,0.4487258195877075,0.5605352537686555
112590018.png,0.4890885055065155,0.4926611277726843
112590024.png,0.49619820713996887,0.5416687042494351
112590053.png,0.5017271041870117,0.5309162211046085
